id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
171,한국해양진흥공사 체험형 인턴 채용,한국해양진흥공사,"서울,부산","경영.회계.사무,금융.보험",비정규직 외 1,2025.05.29,25.06.12,D+21,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286477
172,2025-4호 한국청소년상담복지개발원 직원 모집,한국청소년상담복지개발원,부산,"사업관리,교육.자연.사회과학,사회복지.종교",비정규직 외 1,2025.05.28,25.06.12,D+21,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286489
173,채용형 인턴 채용공고(주택관리공단 대구경북지사),주택관리공단(주),"대구,경북","건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.28,25.06.04,D+29,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286487
174,국토연구원 2025년 제4차 청년인턴 공개채용(제한경쟁),국토연구원,세종,경영.회계.사무,청년인턴(체험형),2025.05.28,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286462
175,채용형 인턴 채용공고(주택관리공단 강원지사),주택관리공단(주),강원,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.27,25.06.03,D+30,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286436
176,채용형 인턴 채용공고(주택관리공단 서울지사),주택관리공단(주),서울,"건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.27,25.06.03,D+30,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286432
177,채용형 인턴 채용공고(주택관리공단 부산울산지사),주택관리공단(주),"부산,울산","건설,기계,전기.전자,환경.에너지.안전",청년인턴(채용형),2025.05.27,25.06.03,D+30,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286429
178,"한국승강기안전공단 2025년 체험형 청년인턴(장애인,국가유공자) 채용 공고",한국승강기안전공단,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",경영.회계.사무,청년인턴(체험형),2025.05.27,25.06.13,D+20,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286422
179,2025년 제2차 한국원산지정보원 직원 채용 공고,한국원산지정보원,"서울,인천,부산,경기","경영.회계.사무,교육.자연.사회과학,정보통신,연구",비정규직 외 2,2025.05.26,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286375
180,2025년 소상공인시장진흥공단 청년인턴(2차) 및 휴직대체 기간제근로자(계약직 5급) 채용 공고,소상공인시장진흥공단,"대전,강원,충남","사업관리,경영.회계.사무",비정규직 외 1,2025.05.26,25.06.09,D+24,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286372
181,[인천병원] 청년(체험형)인턴 채용 공고,근로복지공단,인천,보건.의료,청년인턴(체험형),2025.05.23,25.05.30,D+34,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286320
182,[인천병원] 장애전형 청년(체험형)인턴 채용 공고,근로복지공단,인천,보건.의료,청년인턴(체험형),2025.05.23,25.05.30,D+34,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286319
